id	level	category	word	old_example	new_example	new_ko	new_en
v0179	A1-A2	ADJECTIFS	joli / jolie	C'est joli.	Je trouve ce dessin joli et facile à comprendre.	나는 이 그림이 예쁘고 이해하기 쉽다고 생각한다.	I find this drawing pretty and easy to understand.
v0180	A1-A2	ADJECTIFS	mignon / mignonne	C'est mignon.	Ce petit chien est vraiment mignon.	이 작은 강아지는 정말 귀엽다.	This little dog is really cute.
v0182	A1-A2	ADJECTIFS	agréable	C'est agréable.	Ce quartier est agréable à vivre et assez calme.	이 동네는 살기 쾌적하고 꽤 조용하다.	This neighborhood is pleasant to live in and fairly quiet.
v0183	A1-A2	ADJECTIFS	laid / laide	C'est laid.	Ce bâtiment est laid, mais l'intérieur est pratique.	이 건물은 못생겼지만 내부는 실용적이다.	This building is ugly, but the inside is practical.
v0184	A1-A2	ADJECTIFS	moche	C'est moche.	Je trouve cette affiche un peu moche.	나는 이 포스터가 좀 못생겼다고 생각한다.	I think this poster is a bit ugly.
v0185	A1-A2	ADJECTIFS	beau (bel) / belle	C'est beau.	Le paysage est beau au coucher du soleil.	해 질 무렵 풍경이 아름답다.	The scenery is beautiful at sunset.
v0192	A1-A2	ADJECTIFS	bon / bonne	C'est bon.	Ce restaurant est bon et les portions sont généreuses.	이 식당은 맛도 좋고 양도 넉넉하다.	This restaurant is good and the portions are generous.
v0193	A1-A2	ADJECTIFS	mauvais / mauvaise	C'est mauvais.	Le café est mauvais, alors je ne le finirai pas.	커피가 맛이 없어서 다 마시지 않을 것이다.	The coffee is bad, so I won't finish it.
v0194	A1-A2	ADJECTIFS	sympa (sympathique)	C'est sympa.	Le nouveau collègue est sympa et facile à aborder.	새 동료는 친절하고 말 걸기 편하다.	The new coworker is nice and easy to approach.
v0200	A1-A2	ADJECTIFS	neuf / neuve	C'est neuf.	J'ai acheté un ordinateur neuf, pas un modèle d'occasion.	나는 중고가 아니라 완전히 새 컴퓨터를 샀다.	I bought a brand-new computer, not a used one.
