id	level	category	word	old_example	new_example	new_ko	new_en
v0564	A1-A2	L’ENDROIT	la campagne	Nous passons près de la campagne.	Ils ont quitté la ville pour vivre à la campagne.	그들은 시골에서 살기 위해 도시를 떠났다.	They left the city to live in the countryside.
v0565	A1-A2	L’ENDROIT	la ville	Nous passons près de la ville.	Je préfère vivre en ville parce que tout est plus proche.	나는 모든 것이 가까워서 도시에 사는 것을 더 좋아한다.	I prefer living in the city because everything is closer.
v0566	A1-A2	L’ENDROIT	la cité	Nous passons près de la cité.	La vieille cité est entourée de remparts.	그 오래된 도시는 성벽으로 둘러싸여 있다.	The old city is surrounded by walls.
v0567	A1-A2	L’ENDROIT	la métropole	Nous passons près de la métropole.	Cette métropole attire des travailleurs du monde entier.	이 대도시는 전 세계에서 노동자들을 끌어들인다.	This metropolis attracts workers from all over the world.
v0571	A1-A2	L’ENDROIT	la gare	Nous passons près de la gare.	Le train part de la gare à huit heures dix.	기차는 8시 10분에 역에서 출발한다.	The train leaves the station at 8:10.
v0572	A1-A2	L’ENDROIT	la station de métro	Nous passons près de la station de métro.	La station de métro la plus proche est à cinq minutes à pied.	가장 가까운 지하철역은 걸어서 5분 거리다.	The nearest subway station is a five-minute walk away.
v0573	A1-A2	L’ENDROIT	l'arrêt de bus (m.)	Nous passons près de l'arrêt de bus.	L'arrêt de bus se trouve juste devant la banque.	버스 정류장은 은행 바로 앞에 있다.	The bus stop is right in front of the bank.
v0574	A1-A2	L’ENDROIT	la rue	Nous passons près de la rue.	Tournez à gauche au bout de la rue.	거리 끝에서 왼쪽으로 도세요.	Turn left at the end of the street.
v0576	A1-A2	L’ENDROIT	la route	Nous passons près de la route.	La route est fermée à cause des travaux.	공사 때문에 도로가 폐쇄되어 있다.	The road is closed because of construction.
v0577	A1-A2	L’ENDROIT	l'autoroute (m./f.)	Nous passons près de l'autoroute.	Nous prenons l'autoroute pour gagner du temps.	우리는 시간을 아끼기 위해 고속도로를 탄다.	We take the highway to save time.
v0579	A1-A2	L’ENDROIT	la voie	Nous passons près de la voie.	Restez dans la voie de droite jusqu'à la prochaine sortie.	다음 출구까지 오른쪽 차선을 유지하세요.	Stay in the right lane until the next exit.
v0589	A1-A2	L’ENDROIT	la boîte	Nous passons près de la boîte.	On va en boîte après le dîner pour danser.	우리는 저녁 식사 후 춤추러 클럽에 간다.	We're going to a nightclub after dinner to dance.
v0590	A1-A2	L’ENDROIT	la pâtisserie	Nous passons près de la pâtisserie.	J'ai acheté deux éclairs à la pâtisserie du quartier.	나는 동네 제과점에서 에클레어 두 개를 샀다.	I bought two éclairs at the neighborhood pastry shop.
